DATE,unemployment rate
1,3.4
2,3.8
3,4
4,3.9
5,3.5
6,3.6
7,3.6
8,3.9
9,3.8
10,3.7
11,3.8
12,4
13,4.3
14,4.7
15,5
16,5.3
17,6.1
18,6.2
19,6.7
20,6.8
21,6.6
22,7.9
23,6.4
24,6.6
25,6.5
26,6.4
27,6.3
28,5.8
29,5.5
30,5.4
31,5
32,4.5
33,4.4
34,4.2
35,4.2
36,4.3
37,3.7
38,3.4
39,3.4
40,3.1
41,3
42,3.2
43,3.1
44,3.1
45,3.3
46,3.5
47,3.5
48,3.1
49,3.2
50,3.1
51,2.9
52,2.9
53,3
54,3
55,3.2
56,3.4
57,3.1
58,3
59,2.8
60,2.7
61,2.9
62,2.6
63,2.6
64,2.7
65,2.5
66,2.5
67,2.6
68,2.7
69,2.9
70,3.1
71,3.5
72,4.5
73,4.9
74,5.2
75,5.7
76,5.9
77,5.9
78,5.6
79,5.8
80,6
81,6.1
82,5.7
83,5.3
84,5
85,4.9
86,4.7
87,4.6
88,4.7
89,4.3
90,4.2
91,4
92,4.2
93,4.1
94,4.3
95,4.2
96,4.2
97,4
98,3.9
99,4.2
100,4
101,4.3
102,4.3
103,4.4
104,4.1
105,3.9
106,3.9
107,4.3
108,4.2
109,4.2
110,3.9
111,3.7
112,3.9
113,4.1
114,4.3
115,4.2
116,4.1
117,4.4
118,4.5
119,5.1
120,5.2
121,5.8
122,6.4
123,6.7
124,7.4
125,7.4
126,7.3
127,7.5
128,7.4
129,7.1
130,6.7
131,6.2
132,6.2
133,6
134,5.9
135,5.6
136,5.2
137,5.1
138,5
139,5.1
140,5.2
141,5.5
142,5.7
143,5.8
144,5.3
145,5.2
146,4.8
147,5.4
148,5.2
149,5.1
150,5.4
151,5.5
152,5.6
153,5.5
154,6.1
155,6.1
156,6.6
157,6.6
158,6.9
159,6.9
160,7
161,7.1
162,6.9
163,7
164,6.6
165,6.7
166,6.5
167,6.1
168,6
169,5.8
170,5.5
171,5.6
172,5.6
173,5.5
174,5.5
175,5.4
176,5.7
177,5.6
178,5.4
179,5.7
180,5.5
181,5.7
182,5.9
183,5.7
184,5.7
185,5.9
186,5.6
187,5.6
188,5.4
189,5.5
190,5.5
191,5.7
192,5.5
193,5.6
194,5.4
195,5.4
196,5.3
197,5.1
198,5.2
199,4.9
200,5
201,5.1
202,5.1
203,4.8
204,5
205,4.9
206,5.1
207,4.7
208,4.8
209,4.6
210,4.6
211,4.4
212,4.4
213,4.3
214,4.2
215,4.1
216,4
217,4
218,3.8
219,3.8
220,3.8
221,3.9
222,3.8
223,3.8
224,3.8
225,3.7
226,3.7
227,3.6
228,3.8
229,3.9
230,3.8
231,3.8
232,3.8
233,3.8
234,3.9
235,3.8
236,3.8
237,3.8
238,4
239,3.9
240,3.8
241,3.7
242,3.8
243,3.7
244,3.5
245,3.5
246,3.7
247,3.7
248,3.5
249,3.4
250,3.4
251,3.4
252,3.4
253,3.4
254,3.4
255,3.4
256,3.4
257,3.4
258,3.5
259,3.5
260,3.5
261,3.7
262,3.7
263,3.5
264,3.5
265,3.9
266,4.2
267,4.4
268,4.6
269,4.8
270,4.9
271,5
272,5.1
273,5.4
274,5.5
275,5.9
276,6.1
277,5.9
278,5.9
279,6
280,5.9
281,5.9
282,5.9
283,6
284,6.1
285,6
286,5.8
287,6
288,6
289,5.8
290,5.7
291,5.8
292,5.7
293,5.7
294,5.7
295,5.6
296,5.6
297,5.5
298,5.6
299,5.3
300,5.2
301,4.9
302,5
303,4.9
304,5
305,4.9
306,4.9
307,4.8
308,4.8
309,4.8
310,4.6
311,4.8
312,4.9
313,5.1
314,5.2
315,5.1
316,5.1
317,5.1
318,5.4
319,5.5
320,5.5
321,5.9
322,6
323,6.6
324,7.2
325,8.1
326,8.1
327,8.6
328,8.8
329,9
330,8.8
331,8.6
332,8.4
333,8.4
334,8.4
335,8.3
336,8.2
337,7.9
338,7.7
339,7.6
340,7.7
341,7.4
342,7.6
343,7.8
344,7.8
345,7.6
346,7.7
347,7.8
348,7.8
349,7.5
350,7.6
351,7.4
352,7.2
353,7
354,7.2
355,6.9
356,7
357,6.8
358,6.8
359,6.8
360,6.4
361,6.4
362,6.3
363,6.3
364,6.1
365,6
366,5.9
367,6.2
368,5.9
369,6
370,5.8
371,5.9
372,6
373,5.9
374,5.9
375,5.8
376,5.8
377,5.6
378,5.7
379,5.7
380,6
381,5.9
382,6
383,5.9
384,6
385,6.3
386,6.3
387,6.3
388,6.9
389,7.5
390,7.6
391,7.8
392,7.7
393,7.5
394,7.5
395,7.5
396,7.2
397,7.5
398,7.4
399,7.4
400,7.2
401,7.5
402,7.5
403,7.2
404,7.4
405,7.6
406,7.9
407,8.3
408,8.5
409,8.6
410,8.9
411,9
412,9.3
413,9.4
414,9.6
415,9.8
416,9.8
417,10.1
418,10.4
419,10.8
420,10.8
421,10.4
422,10.4
423,10.3
424,10.2
425,10.1
426,10.1
427,9.4
428,9.5
429,9.2
430,8.8
431,8.5
432,8.3
433,8
434,7.8
435,7.8
436,7.7
437,7.4
438,7.2
439,7.5
440,7.5
441,7.3
442,7.4
443,7.2
444,7.3
445,7.3
446,7.2
447,7.2
448,7.3
449,7.2
450,7.4
451,7.4
452,7.1
453,7.1
454,7.1
455,7
456,7
457,6.7
458,7.2
459,7.2
460,7.1
461,7.2
462,7.2
463,7
464,6.9
465,7
466,7
467,6.9
468,6.6
469,6.6
470,6.6
471,6.6
472,6.3
473,6.3
474,6.2
475,6.1
476,6
477,5.9
478,6
479,5.8
480,5.7
481,5.7
482,5.7
483,5.7
484,5.4
485,5.6
486,5.4
487,5.4
488,5.6
489,5.4
490,5.4
491,5.3
492,5.3
493,5.4
494,5.2
495,5
496,5.2
497,5.2
498,5.3
499,5.2
500,5.2
501,5.3
502,5.3
503,5.4
504,5.4
505,5.4
506,5.3
507,5.2
508,5.4
509,5.4
510,5.2
511,5.5
512,5.7
513,5.9
514,5.9
515,6.2
516,6.3
517,6.4
518,6.6
519,6.8
520,6.7
521,6.9
522,6.9
523,6.8
524,6.9
525,6.9
526,7
527,7
528,7.3
529,7.3
530,7.4
531,7.4
532,7.4
533,7.6
534,7.8
535,7.7
536,7.6
537,7.6
538,7.3
539,7.4
540,7.4
541,7.3
542,7.1
543,7
544,7.1
545,7.1
546,7
547,6.9
548,6.8
549,6.7
550,6.8
551,6.6
552,6.5
553,6.6
554,6.6
555,6.5
556,6.4
557,6.1
558,6.1
559,6.1
560,6
561,5.9
562,5.8
563,5.6
564,5.5
565,5.6
566,5.4
567,5.4
568,5.8
569,5.6
570,5.6
571,5.7
572,5.7
573,5.6
574,5.5
575,5.6
576,5.6
577,5.6
578,5.5
579,5.5
580,5.6
581,5.6
582,5.3
583,5.5
584,5.1
585,5.2
586,5.2
587,5.4
588,5.4
589,5.3
590,5.2
591,5.2
592,5.1
593,4.9
594,5
595,4.9
596,4.8
597,4.9
598,4.7
599,4.6
600,4.7
601,4.6
602,4.6
603,4.7
604,4.3
605,4.4
606,4.5
607,4.5
608,4.5
609,4.6
610,4.5
611,4.4
612,4.4
613,4.3
614,4.4
615,4.2
616,4.3
617,4.2
618,4.3
619,4.3
620,4.2
621,4.2
622,4.1
623,4.1
624,4
625,4
626,4.1
627,4
628,3.8
629,4
630,4
631,4
632,4.1
633,3.9
634,3.9
635,3.9
636,3.9
637,4.2
638,4.2
639,4.3
640,4.4
641,4.3
642,4.5
643,4.6
644,4.9
645,5
646,5.3
647,5.5
648,5.7
649,5.7
650,5.7
651,5.7
652,5.9
653,5.8
654,5.8
655,5.8
656,5.7
657,5.7
658,5.7
659,5.9
660,6
661,5.8
662,5.9
663,5.9
664,6
665,6.1
666,6.3
667,6.2
668,6.1
669,6.1
670,6
671,5.8
672,5.7
673,5.7
674,5.6
675,5.8
676,5.6
677,5.6
678,5.6
679,5.5
680,5.4
681,5.4
682,5.5
683,5.4
684,5.4
685,5.3
686,5.4
687,5.2
688,5.2
689,5.1
690,5
691,5
692,4.9
693,5
694,5
695,5
696,4.9
697,4.7
698,4.8
699,4.7
700,4.7
701,4.6
702,4.6
703,4.7
704,4.7
705,4.5
706,4.4
707,4.5
708,4.4
709,4.6
710,4.5
711,4.4
712,4.5
713,4.4
714,4.6
715,4.7
716,4.6
717,4.7
718,4.7
719,4.7
720,5
721,5
722,4.9
723,5.1
724,5
725,5.4
726,5.6
727,5.8
728,6.1
729,6.1
730,6.5
731,6.8
732,7.3
733,7.8
734,8.3
735,8.7
736,9
737,9.4
738,9.5
739,9.5
740,9.6
741,9.8
742,10
743,9.9
744,9.9
745,9.8
746,9.8
747,9.9
748,9.9
749,9.6
750,9.4
751,9.4
752,9.5
753,9.5
754,9.4
755,9.8
756,9.3
757,9.1
758,9
759,9
760,9.1
761,9
762,9.1
763,9
764,9
765,9
766,8.8
767,8.6
768,8.5
769,8.3
770,8.3
771,8.2
772,8.2
773,8.2
774,8.2
775,8.2
776,8.1
777,7.8
778,7.8
779,7.7
780,7.9
781,8
782,7.7
783,7.5
784,7.6
785,7.5
786,7.5
787,7.3
788,7.2
789,7.2
790,7.2
791,6.9
792,6.7
793,6.6
794,6.7
795,6.7
796,6.2
797,6.3
798,6.1
799,6.2
800,6.1
801,5.9
802,5.7
803,5.8
804,5.6
805,5.7
806,5.5
807,5.4
808,5.4
809,5.6
810,5.3
811,5.2
812,5.1
813,5
814,5
815,5.1
816,5
817,4.8
818,4.9
819,5
820,5.1
821,4.8
822,4.9
823,4.8
824,4.9
825,5
826,4.9
827,4.7
828,4.7
829,4.7
830,4.6
831,4.4
832,4.5
833,4.4
834,4.3
835,4.3
836,4.4
837,4.2
838,4.1
839,4.2
840,4.1
841,4
842,4.1
843,4
844,4
845,3.8
846,4
847,3.8
848,3.8
849,3.7
850,3.8
851,3.8
852,3.9
853,4
854,3.8
855,3.8
856,3.7
857,3.7
858,3.6
859,3.6
860,3.7
861,3.5
862,3.6
863,3.6
864,3.6
865,3.5
866,3.5
867,4.4
868,14.8
869,13.3
870,11.1
871,10.2
872,8.4
873,7.8
874,6.9
875,6.7
876,6.7
877,6.3
878,6.2
879,6
880,6.1
881,5.8
